iter	Passed	Remaining
239	586	1855
240	586	1847
241	587	1840
242	588	1832
243	589	1825
244	589	1817
245	590	1809
246	591	1801
247	591	1794
248	592	1786
249	593	1779
250	593	1771
251	594	1763
252	594	1756
253	595	1749
254	596	1741
255	596	1734
256	597	1727
257	598	1720
258	599	1714
259	600	1707
260	600	1701
261	601	1694
262	602	1688
263	603	1682
264	604	1675
265	604	1668
266	605	1662
267	606	1655
268	606	1648
269	607	1642
270	608	1635
271	608	1629
272	609	1622
273	610	1616
274	610	1610
275	611	1603
276	612	1597
277	612	1591
278	613	1585
279	614	1580
280	615	1574
281	616	1568
282	616	1562
283	617	1556
284	618	1551
285	619	1545
286	619	1539
287	620	1534
288	621	1528
289	622	1522
290	622	1517
291	623	1511
292	624	1505
293	624	1500
294	625	1494
295	626	1489
296	626	1483
297	627	1478
298	628	1473
299	629	1468
300	630	1464
301	631	1459
302	632	1454
303	633	1449
304	633	1444
305	634	1438
306	635	1433
307	635	1428
308	636	1423
309	637	1418
310	637	1412
311	638	1407
312	639	1402
313	639	1397
314	640	1392
315	641	1387
316	641	1382
317	642	1377
318	643	1373
319	644	1369
320	645	1364
321	645	1360
322	646	1355
323	647	1350
324	648	1346
325	648	1341
326	649	1336
327	650	1332
328	650	1327
329	651	1322
330	652	1318
331	652	1313
332	653	1308
333	654	1304
334	654	1299
335	655	1295
336	656	1290
337	656	1286
338	657	1282
339	658	1278
340	659	1275
341	660	1271
342	661	1266
343	662	1262
344	662	1258
345	663	1253
346	664	1249
347	664	1245
348	665	1240
349	665	1236
350	666	1232
351	667	1228
352	667	1224
353	668	1219
354	669	1215
355	669	1211
356	670	1207
357	671	1203
358	671	1199
359	672	1196
360	673	1192
361	674	1188
362	674	1184
363	675	1180
364	676	1176
365	676	1172
366	677	1168
367	678	1164
368	678	1161
369	679	1157
370	680	1153
371	680	1149
372	681	1145
373	682	1142
374	682	1138
375	683	1134
376	684	1130
377	684	1127
378	685	1123
379	686	1119
380	687	1116
381	688	1113
382	688	1109
383	689	1106
384	690	1102
385	690	1098
386	691	1095
387	692	1091
388	692	1088
389	693	1084
390	694	1081
391	694	1077
392	695	1074
393	696	1070
394	696	1067
395	697	1063
396	698	1060
397	698	1056
398	699	1053
399	700	1050
400	700	1046
401	701	1043
402	702	1040
403	703	1037
404	703	1034
405	704	1030
406	705	1027
407	705	1024
408	706	1021
409	707	1017
410	707	1014
411	708	1011
412	709	1008
413	710	1005
414	710	1001
415	711	998
416	712	995
417	712	992
418	713	989
419	714	986
420	714	983
421	715	980
422	716	977
423	717	974
424	718	971
425	718	968
426	719	965
427	719	962
428	720	959
429	721	956
430	722	953
431	722	950
432	723	947
433	724	944
434	724	941
435	725	938
436	725	935
437	726	932
438	727	929
439	728	926
440	728	923
441	729	920
442	729	917
443	730	914
444	731	912
445	732	909
446	732	906
447	733	903
448	734	900
449	734	898
450	735	895
451	736	892
452	736	889
453	737	886
454	738	884
455	738	881
456	739	878
457	740	875
458	740	873
459	741	870
460	742	867
461	742	865
